Linux 6.8.0-45-lowlatency (ntb-hp) 	25/09/2024 	_x86_64_	(16 CPU)

10:24:25     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:24:26     all    2,14    0,00    1,45    0,00    0,00    0,00    0,00    0,00    0,00   96,42
10:24:26       0    2,02    0,00    2,02    0,00    0,00    0,00    0,00    0,00    0,00   95,96
10:24:26       1    1,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   98,00
10:24:26       2    2,02    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   96,97
10:24:26       3    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
10:24:26       4    1,00    0,00    2,00    0,00    0,00    0,00    0,00    0,00    0,00   97,00
10:24:26       5    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
10:24:26       6    0,00    0,00    1,02    0,00    0,00    0,00    0,00    0,00    0,00   98,98
10:24:26       7   14,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   86,00
10:24:26       8    3,00    0,00    2,00    0,00    0,00    0,00    0,00    0,00    0,00   95,00
10:24:26       9    1,01    0,00    2,02    0,00    0,00    0,00    0,00    0,00    0,00   96,97
10:24:26      10    2,02    0,00    2,02    0,00    0,00    0,00    0,00    0,00    0,00   95,96
10:24:26      11    4,08    0,00    7,14    0,00    0,00    0,00    0,00    0,00    0,00   88,78
10:24:26      12    2,00    0,00    2,00    0,00    0,00    0,00    0,00    0,00    0,00   96,00
10:24:26      13    1,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   98,00
10:24:26      14    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
10:24:26      15    1,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   99,00

Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all    2,14    0,00    1,45    0,00    0,00    0,00    0,00    0,00    0,00   96,42
Average:       0    2,02    0,00    2,02    0,00    0,00    0,00    0,00    0,00    0,00   95,96
Average:       1    1,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   98,00
